input_filename,rider_id,timestamp,distance,speed,heart_rate,altitude,SensorHeading,SensorAccelerationX_HD,SensorAccelerationY_HD,SensorAccelerationZ_HD,position_lat,position_long,osm_uid,osm_name,osm_highway,osm_incline,osm_mtb:scale,osm_surface,osm_trail_visibility,osm_width,osm_sac_scale,osm_bicycle,osm_foot,osm_tracktype,trailforks_trailid,trailforks_title,trailforks_difficulty,trailforks_trailtype,trailforks_biketype,trailforks_physical_rating,trailforks_ttfs,trailforks_wet_weather,trailforks_season,trailforks_condition,trailforks_difficulty_votes,trailforks_difficulty_user_avg,trailforks_family_friendly,trailforks_amtb-rating,trailforks_activitytypes,gopro_AcclX,gopro_AcclY,gopro_AcclZ,gopro_Latitude,gopro_Longitude,gopro_Altitude,gopro_Speed,gopro_Speed3D,gopro_TS,gopro_GpsAccuracy,gopro_GpsFix,gopro_GyroX,gopro_GyroY,gopro_GyroZ
"dandlberg_m_1","1","964206900840.0","23.82","1.278","126.0","816.2","-1.8668357","784.0","-12.0","-432.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900880.0","23.82","1.278","126.0","816.2","-1.8668357","904.0","-28.0","-388.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900920.0","23.82","1.278","126.0","816.2","-1.8668357","928.0","0.0","-716.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900960.0","23.82","1.278","126.0","816.2","-1.8668357","1108.0","-112.0","-304.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901000.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","1168.0","24.0","-548.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901040.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","880.0","-16.0","-684.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901080.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","800.0","72.0","-756.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901120.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","732.0","64.0","-816.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901160.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","968.0","104.0","-452.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901200.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","1180.0","-100.0","-264.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
